Company,Overall Rank,Talent,Innovation,Leadership,Transparency
JPMorganChase,1,2,1,1,1
Capital One,2,1,2,20,17
Royal Bank of Canada,3,12,3,3,3
CommBank,4,4,13,4,2
Morgan Stanley,5,13,4,9,21
Wells Fargo,6,6,5,40,14
UBS,7,3,25,7,4
HSBC,8,14,8,15,6
Goldman Sachs,9,7,9,18,23
Bank of America,10,10,7,12,24
BNP Paribas,11,8,11,8,25
Citigroup,12,5,6,26,30
TD Bank,13,11,10,19,15
BBVA,14,9,12,11,20
Lloyds Banking Group,15,16,12,13,5
NatWest,16,18,20,6,10
BNY,17,20,18,5,9
DBS,18,23,40,2,12
Bank of Montreal,19,26,16,25,13
ING,20,15,28,23,33
Santander,21,25,30,5,35
CIBC,22,32,26,17,11
Barclays,23,17,23,47,19
Société Générale,24,24,33,16,28
Groupe BPCE,25,29,29,21,18
Standard Chartered,26,33,21,36,8
Intesa Sanpaolo,27,44,14,22,16
Deutsche Bank,28,27,17,41,27
Scotiabank,29,28,44,31,7
Rabobank,30,22,34,43,37
Crédit Agricole,31,30,24,28,47
ABN AMRO,32,19,35,45,46
Danske Bank,33,21,47,32,39
NAB,34,38,45,24,22
Charles Schwab,35,39,32,30,41
Truist Bank,36,41,19,42,43
ANZ,37,36,38,38,29
Commerzbank,38,40,39,27,42
Raiffeisen Bank Intl,39,31,48,37,36
US Bank,40,37,31,46,31
CaixaBank,41,46,49,10,40
PNC Financial,42,34,37,49,26
State Street,43,45,36,39,34
UniCredit,44,48,27,29,45
Westpac,45,42,41,35,38
Crédit Mutuel,46,49,22,48,32
Citizens Financial,47,35,50,33,49
KBC,48,47,42,34,46
Nordea,49,43,46,44,44
First Citizens,50,50,43,50,50